cidade;preco;vencimento;moeda;cultura;fator_valorizacao
JUARA-MT;104.83;30/04/2026;REAIS R$;SOJA;1
BRASNORTE-MT;104.93;30/04/2026;REAIS R$;SOJA;1
SINOP-MT;106.19;30/04/2026;REAIS R$;SOJA;1
QUERENCIA-MT;107.35;30/04/2026;REAIS R$;SOJA;1
PRIMAVERA DO LESTE-MT;110.25;30/04/2026;REAIS R$;SOJA;1
NOVA MUTUM-MT;107.84;30/04/2026;REAIS R$;SOJA;1
CANARANA-MT;106.38;30/04/2026;REAIS R$;SOJA;1
SÇO GABRIEL-MT;117.48;30/04/2026;REAIS R$;SOJA;1
DOURADOS-MS;120.38;30/04/2026;REAIS R$;SOJA;1
CRUZ ALTA-RS;127.73;30/04/2026;REAIS R$;SOJA;1
SANTA MARIA-RS;129.19;30/04/2026;REAIS R$;SOJA;1
VILHENA-RO;109.69;30/04/2026;REAIS R$;SOJA;1
CAMPO MOURAO-PR;125.78;30/04/2026;REAIS R$;SOJA;1
CASCAVEL-PR;126.26;30/04/2026;REAIS R$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;117.00;30/04/2026;REAIS R$;SOJA;1
BARREIRAS-BA;117.00;30/04/2026;REAIS R$;SOJA;1
PARAGOMINAS-PA;116.51;30/04/2026;REAIS R$;SOJA;1
TAIL¶NDIA-PA;118.46;30/04/2026;REAIS R$;SOJA;1
DOM ELISEU-PA;115.54;30/04/2026;REAIS R$;SOJA;1
RONDON DO PARµ-PA;114.56;30/04/2026;REAIS R$;SOJA;1
AAIL¶NDIA-MA;113.59;30/04/2026;REAIS R$;SOJA;1
SELECIONE A PRAA DESEJADA;-;30/05/2026;REAIS R$;SOJA;1
AGUA BOA-MT;108.32;30/05/2026;REAIS R$;SOJA;1
RONDONOPOLIS-MT;112.19;30/05/2026;REAIS R$;SOJA;1
CAMPO NOVO PARECIS-MT;107.35;30/05/2026;REAIS R$;SOJA;1
SORRISO-MT;107.30;30/05/2026;REAIS R$;SOJA;1
JUARA-MT;106.77;30/05/2026;REAIS R$;SOJA;1
BRASNORTE-MT;106.87;30/05/2026;REAIS R$;SOJA;1
SINOP-MT;107.06;30/05/2026;REAIS R$;SOJA;1
QUERENCIA-MT;108.32;30/05/2026;REAIS R$;SOJA;1
PRIMAVERA DO LESTE-MT;111.22;30/05/2026;REAIS R$;SOJA;1
NOVA MUTUM-MT;108.80;30/05/2026;REAIS R$;SOJA;1
CANARANA-MT;106.87;30/05/2026;REAIS R$;SOJA;1
SÇO GABRIEL-MT;119.42;30/05/2026;REAIS R$;SOJA;1
DOURADOS-MS;122.31;30/05/2026;REAIS R$;SOJA;1
CRUZ ALTA-RS;128.70;30/05/2026;REAIS R$;SOJA;1
SANTA MARIA-RS;129.68;30/05/2026;REAIS R$;SOJA;1
VILHENA-RO;110.18;30/05/2026;REAIS R$;SOJA;1
CAMPO MOURAO-PR;126.75;30/05/2026;REAIS R$;SOJA;1
CASCAVEL-PR;127.24;30/05/2026;REAIS R$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;117.98;30/05/2026;REAIS R$;SOJA;1
BARREIRAS-BA;117.98;30/05/2026;REAIS R$;SOJA;1
PARAGOMINAS-PA;117.49;30/05/2026;REAIS R$;SOJA;1
TAIL¶NDIA-PA;119.44;30/05/2026;REAIS R$;SOJA;1
DOM ELISEU-PA;116.51;30/05/2026;REAIS R$;SOJA;1
RONDON DO PARµ-PA;115.54;30/05/2026;REAIS R$;SOJA;1
AAIL¶NDIA-MA;114.56;30/05/2026;REAIS R$;SOJA;1
SELECIONE A PRAA DESEJADA;$-;30/05/2025;DOLAR US$;SOJA;1
AGUA BOA-MT;$17.42;30/05/2025;DOLAR US$;SOJA;1
RONDONOPOLIS-MT;$18.25;30/05/2025;DOLAR US$;SOJA;1
CAMPO NOVO PARECIS-MT;$17.09;30/05/2025;DOLAR US$;SOJA;1
SORRISO-MT;$16.92;30/05/2025;DOLAR US$;SOJA;1
JUARA-MT;$16.71;30/05/2025;DOLAR US$;SOJA;1
BRASNORTE-MT;$16.73;30/05/2025;DOLAR US$;SOJA;1
SINOP-MT;$16.74;30/05/2025;DOLAR US$;SOJA;1
QUERENCIA-MT;$16.78;30/05/2025;DOLAR US$;SOJA;1
PRIMAVERA DO LESTE-MT;$17.78;30/05/2025;DOLAR US$;SOJA;1
NOVA MUTUM-MT;$17.58;30/05/2025;DOLAR US$;SOJA;1
CANARANA-MT;$17.17;30/05/2025;DOLAR US$;SOJA;1
SÇO GABRIEL-MT;$18.19;30/05/2025;DOLAR US$;SOJA;1
DOURADOS-MS;$18.42;30/05/2025;DOLAR US$;SOJA;1
CRUZ ALTA-RS;$19.68;30/05/2025;DOLAR US$;SOJA;1
SANTA MARIA-RS;$19.81;30/05/2025;DOLAR US$;SOJA;1
VILHENA-RO;$17.64;30/05/2025;DOLAR US$;SOJA;1
CAMPO MOURAO-PR;$19.53;30/05/2025;DOLAR US$;SOJA;1
CASCAVEL-PR;$19.61;30/05/2025;DOLAR US$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;$17.49;30/05/2025;DOLAR US$;SOJA;1
BARREIRAS-BA;$17.49;30/05/2025;DOLAR US$;SOJA;1
PARAGOMINAS-PA;$17.72;30/05/2025;DOLAR US$;SOJA;1
TAIL¶NDIA-PA;$17.88;30/05/2025;DOLAR US$;SOJA;1
DOM ELISEU-PA;$17.49;30/05/2025;DOLAR US$;SOJA;1
RONDON DO PARµ-PA;$17.41;30/05/2025;DOLAR US$;SOJA;1
