moeda,preco,Cidade,cultura,vencimento
Dólar,14.79,SORRISO-MT,Soja,30/05/2026
Dólar,14.71,JUARA-MT,Soja,30/05/2026
Dólar,14.73,BRASNORTE-MT,Soja,30/05/2026
Dólar,14.75,SINOP-MT,Soja,30/05/2026
Dólar,14.93,QUERENCIA-MT,Soja,30/05/2026
Dólar,15.33,"PRIMAVERA DO LESTE-MT",Soja,30/05/2026
Dólar,14.99,"NOVA MUTUM-MT",Soja,30/05/2026
Dólar,14.73,CANARANA-MT,Soja,30/05/2026
Dólar,16.46,"SÃO GABRIEL-MT",Soja,30/05/2026
Dólar,16.85,DOURADOS-MS,Soja,30/05/2026
Dólar,17.73,"CRUZ ALTA-RS",Soja,30/05/2026
Dólar,17.87,"SANTA MARIA-RS",Soja,30/05/2026
Dólar,15.18,VILHENA-RO,Soja,30/05/2026
Dólar,17.47,"CAMPO MOURAO-PR",Soja,30/05/2026
Dólar,17.53,CASCAVEL-PR,Soja,30/05/2026
Dólar,16.26,"LUIS EDUARDO MAGALHAES-BA",Soja,30/05/2026
Dólar,16.26,BARREIRAS-BA,Soja,30/05/2026
Dólar,16.19,PARAGOMINAS-PA,Soja,30/05/2026
Dólar,16.46,TAILÂNDIA-PA,Soja,30/05/2026
Dólar,16.06,"DOM ELISEU-PA",Soja,30/05/2026
Dólar,15.92,"RONDON DO PARÁ-PA",Soja,30/05/2026
Dólar,15.79,AÇAILÂNDIA-MA,Soja,30/05/2026
